Ep    100/50000 | avg:    16.6  min:     3.5  max:    53.0 | len:    17 | actor loss:  33.5633 | critic loss:  33.5633 | σ: [0.972, 0.983, 0.975] | best: -inf | elapsed: 00:00:03  (508 steps/s)
  → New best! Saved to reinforce_best_ep100_avg17.pt
Ep    200/50000 | avg:    32.2  min:     3.9  max:    54.4 | len:    25 | actor loss:  65.9170 | critic loss:  65.9170 | σ: [0.980, 0.978, 0.977] | best: 16.6 | elapsed: 00:00:06  (707 steps/s)
  → New best! Saved to reinforce_best_ep200_avg32.pt
Ep    300/50000 | avg:    48.9  min:     4.0  max:    98.5 | len:    35 | actor loss: 103.2645 | critic loss: 103.2645 | σ: [0.986, 0.976, 0.986] | best: 32.2 | elapsed: 00:00:11  (809 steps/s)
  → New best! Saved to reinforce_best_ep300_avg49.pt
Ep    400/50000 | avg:    46.8  min:     7.3  max:    93.8 | len:    34 | actor loss: 100.9649 | critic loss: 100.9649 | σ: [0.994, 0.982, 0.991] | best: 48.9 | elapsed: 00:00:16  (656 steps/s)
Ep    500/50000 | avg:    40.5  min:     7.0  max:    80.5 | len:    31 | actor loss:  88.2637 | critic loss:  88.2637 | σ: [0.997, 0.978, 0.997] | best: 48.9 | elapsed: 00:00:20  (686 steps/s)
Ep    600/50000 | avg:    49.3  min:     9.9  max:    83.7 | len:    35 | actor loss: 109.0928 | critic loss: 109.0928 | σ: [0.996, 0.982, 1.009] | best: 48.9 | elapsed: 00:00:25  (807 steps/s)
  → New best! Saved to reinforce_best_ep600_avg49.pt
Ep    700/50000 | avg:    54.1  min:    35.2  max:    89.0 | len:    37 | actor loss: 118.1701 | critic loss: 118.1701 | σ: [0.990, 0.975, 1.015] | best: 49.3 | elapsed: 00:00:30  (715 steps/s)
  → New best! Saved to reinforce_best_ep700_avg54.pt
Ep    800/50000 | avg:    30.0  min:     8.2  max:    68.9 | len:    25 | actor loss:  66.4368 | critic loss:  66.4368 | σ: [0.993, 0.977, 1.013] | best: 54.1 | elapsed: 00:00:34  (587 steps/s)
Ep    900/50000 | avg:    26.3  min:     6.6  max:    69.9 | len:    24 | actor loss:  59.1591 | critic loss:  59.1591 | σ: [0.992, 0.983, 1.016] | best: 54.1 | elapsed: 00:00:37  (757 steps/s)
Ep   1000/50000 | avg:    51.5  min:    17.7  max:    82.1 | len:    36 | actor loss: 115.3465 | critic loss: 115.3465 | σ: [0.987, 0.989, 1.028] | best: 54.1 | elapsed: 00:00:42  (768 steps/s)
Ep   1100/50000 | avg:    52.1  min:    29.4  max:    79.8 | len:    36 | actor loss: 116.4536 | critic loss: 116.4536 | σ: [0.989, 0.987, 1.030] | best: 54.1 | elapsed: 00:00:48  (600 steps/s)
Ep   1200/50000 | avg:    43.8  min:    35.2  max:    74.7 | len:    31 | actor loss: 100.0615 | critic loss: 100.0615 | σ: [0.985, 0.981, 1.035] | best: 54.1 | elapsed: 00:00:52  (756 steps/s)
Ep   1300/50000 | avg:    40.1  min:    24.4  max:    62.7 | len:    29 | actor loss:  96.3504 | critic loss:  96.3504 | σ: [0.981, 0.987, 1.025] | best: 54.1 | elapsed: 00:00:56  (780 steps/s)
Ep   1400/50000 | avg:    41.0  min:    28.3  max:    61.8 | len:    30 | actor loss:  97.0250 | critic loss:  97.0250 | σ: [0.981, 0.990, 1.022] | best: 54.1 | elapsed: 00:01:00  (687 steps/s)
Ep   1500/50000 | avg:    46.7  min:    35.6  max:    68.4 | len:    34 | actor loss: 104.6383 | critic loss: 104.6383 | σ: [0.983, 0.994, 1.025] | best: 54.1 | elapsed: 00:01:06  (532 steps/s)
Ep   1600/50000 | avg:    49.0  min:    40.7  max:    56.9 | len:    38 | actor loss: 106.8365 | critic loss: 106.8365 | σ: [0.995, 0.999, 1.019] | best: 54.1 | elapsed: 00:01:11  (788 steps/s)
Ep   1700/50000 | avg:    45.5  min:    37.0  max:    61.9 | len:    33 | actor loss:  99.7460 | critic loss:  99.7460 | σ: [0.990, 1.001, 1.023] | best: 54.1 | elapsed: 00:01:16  (687 steps/s)
Ep   1800/50000 | avg:    42.3  min:    34.9  max:    60.1 | len:    30 | actor loss:  94.1272 | critic loss:  94.1272 | σ: [0.994, 1.003, 1.017] | best: 54.1 | elapsed: 00:01:22  (479 steps/s)
Ep   1900/50000 | avg:    42.8  min:    21.6  max:    66.9 | len:    31 | actor loss:  95.6126 | critic loss:  95.6126 | σ: [0.996, 1.001, 1.014] | best: 54.1 | elapsed: 00:01:26  (781 steps/s)
Ep   2000/50000 | avg:    46.7  min:    22.4  max:    75.5 | len:    34 | actor loss: 104.4998 | critic loss: 104.4998 | σ: [0.994, 1.001, 1.008] | best: 54.1 | elapsed: 00:01:31  (718 steps/s)
Ep   2100/50000 | avg:    41.1  min:    19.6  max:    76.2 | len:    29 | actor loss:  95.8741 | critic loss:  95.8741 | σ: [0.997, 1.008, 1.014] | best: 54.1 | elapsed: 00:01:36  (584 steps/s)
Ep   2200/50000 | avg:    39.2  min:    17.4  max:    72.0 | len:    29 | actor loss:  89.1765 | critic loss:  89.1765 | σ: [1.003, 1.011, 1.002] | best: 54.1 | elapsed: 00:01:40  (787 steps/s)
Ep   2300/50000 | avg:    38.2  min:    17.5  max:    76.0 | len:    29 | actor loss:  88.1336 | critic loss:  88.1336 | σ: [1.011, 1.014, 1.010] | best: 54.1 | elapsed: 00:01:43  (803 steps/s)
Ep   2400/50000 | avg:    38.4  min:    14.1  max:    79.9 | len:    29 | actor loss:  88.0678 | critic loss:  88.0678 | σ: [1.022, 1.006, 1.017] | best: 54.1 | elapsed: 00:01:48  (648 steps/s)
Ep   2500/50000 | avg:    31.7  min:    11.4  max:    80.5 | len:    26 | actor loss:  71.0787 | critic loss:  71.0787 | σ: [1.016, 1.010, 1.013] | best: 54.1 | elapsed: 00:01:52  (632 steps/s)
Ep   2600/50000 | avg:    41.7  min:    16.3  max:    71.2 | len:    31 | actor loss: 101.7040 | critic loss: 101.7040 | σ: [1.019, 1.019, 1.017] | best: 54.1 | elapsed: 00:01:56  (784 steps/s)
Ep   2700/50000 | avg:    41.5  min:    16.9  max:    82.0 | len:    29 | actor loss: 101.0315 | critic loss: 101.0315 | σ: [1.012, 1.020, 1.015] | best: 54.1 | elapsed: 00:02:00  (788 steps/s)
Ep   2800/50000 | avg:    36.7  min:    18.3  max:    67.4 | len:    27 | actor loss:  83.9168 | critic loss:  83.9168 | σ: [1.005, 1.028, 1.007] | best: 54.1 | elapsed: 00:02:04  (581 steps/s)
Ep   2900/50000 | avg:    38.8  min:    17.9  max:    82.4 | len:    29 | actor loss:  88.3616 | critic loss:  88.3616 | σ: [0.996, 1.014, 1.008] | best: 54.1 | elapsed: 00:02:08  (694 steps/s)
Ep   3000/50000 | avg:    40.8  min:    20.9  max:    65.6 | len:    29 | actor loss:  98.1932 | critic loss:  98.1932 | σ: [0.997, 1.016, 1.018] | best: 54.1 | elapsed: 00:02:12  (796 steps/s)
Ep   3100/50000 | avg:    45.2  min:    24.7  max:    70.3 | len:    32 | actor loss: 102.0563 | critic loss: 102.0563 | σ: [0.993, 1.009, 1.017] | best: 54.1 | elapsed: 00:02:17  (720 steps/s)
Ep   3200/50000 | avg:    51.3  min:     9.5  max:    68.6 | len:    38 | actor loss: 111.6773 | critic loss: 111.6773 | σ: [0.977, 1.010, 1.011] | best: 54.1 | elapsed: 00:02:23  (633 steps/s)
Ep   3300/50000 | avg:    48.3  min:     9.3  max:    61.8 | len:    35 | actor loss: 106.9791 | critic loss: 106.9791 | σ: [0.973, 1.026, 1.014] | best: 54.1 | elapsed: 00:02:27  (768 steps/s)
Ep   3400/50000 | avg:    49.0  min:    41.2  max:    70.3 | len:    37 | actor loss: 105.0669 | critic loss: 105.0669 | σ: [0.963, 1.017, 1.010] | best: 54.1 | elapsed: 00:02:32  (713 steps/s)
Ep   3500/50000 | avg:    50.0  min:    42.0  max:    68.1 | len:    39 | actor loss: 108.9353 | critic loss: 108.9353 | σ: [0.958, 1.015, 1.011] | best: 54.1 | elapsed: 00:02:38  (650 steps/s)
Ep   3600/50000 | avg:    49.3  min:    45.1  max:    53.0 | len:    40 | actor loss: 107.2468 | critic loss: 107.2468 | σ: [0.960, 1.011, 1.018] | best: 54.1 | elapsed: 00:02:43  (815 steps/s)
Ep   3700/50000 | avg:    48.3  min:    40.0  max:    54.2 | len:    38 | actor loss: 105.9076 | critic loss: 105.9076 | σ: [0.955, 1.014, 1.033] | best: 54.1 | elapsed: 00:02:49  (666 steps/s)
Ep   3800/50000 | avg:    46.1  min:    38.7  max:    52.9 | len:    34 | actor loss: 102.4802 | critic loss: 102.4802 | σ: [0.950, 1.010, 1.035] | best: 54.1 | elapsed: 00:02:54  (681 steps/s)
Ep   3900/50000 | avg:    41.6  min:    36.3  max:    64.7 | len:    29 | actor loss:  94.3919 | critic loss:  94.3919 | σ: [0.943, 1.013, 1.040] | best: 54.1 | elapsed: 00:02:57  (783 steps/s)
Ep   4000/50000 | avg:    41.3  min:    34.7  max:    62.0 | len:    29 | actor loss:  89.5546 | critic loss:  89.5546 | σ: [0.940, 1.006, 1.043] | best: 54.1 | elapsed: 00:03:01  (754 steps/s)
Ep   4100/50000 | avg:    42.6  min:    33.7  max:    59.7 | len:    31 | actor loss:  88.6489 | critic loss:  88.6489 | σ: [0.936, 1.010, 1.036] | best: 54.1 | elapsed: 00:03:07  (573 steps/s)
Ep   4200/50000 | avg:    44.9  min:    33.2  max:    65.8 | len:    32 | actor loss:  93.4874 | critic loss:  93.4874 | σ: [0.932, 1.001, 1.036] | best: 54.1 | elapsed: 00:03:10  (814 steps/s)
Ep   4300/50000 | avg:    48.6  min:    39.0  max:    58.6 | len:    35 | actor loss: 102.0622 | critic loss: 102.0622 | σ: [0.931, 0.997, 1.029] | best: 54.1 | elapsed: 00:03:15  (808 steps/s)
Ep   4400/50000 | avg:    46.2  min:    36.8  max:    62.9 | len:    32 | actor loss:  97.4055 | critic loss:  97.4055 | σ: [0.930, 0.997, 1.029] | best: 54.1 | elapsed: 00:03:20  (589 steps/s)
Ep   4500/50000 | avg:    43.8  min:    35.6  max:    63.4 | len:    30 | actor loss:  88.9966 | critic loss:  88.9966 | σ: [0.924, 0.997, 1.016] | best: 54.1 | elapsed: 00:03:24  (743 steps/s)
Ep   4600/50000 | avg:    41.8  min:    34.6  max:    59.0 | len:    30 | actor loss:  85.8553 | critic loss:  85.8553 | σ: [0.927, 1.002, 1.020] | best: 54.1 | elapsed: 00:03:28  (783 steps/s)
Ep   4700/50000 | avg:    43.4  min:    34.6  max:    55.1 | len:    30 | actor loss:  89.7604 | critic loss:  89.7604 | σ: [0.924, 1.002, 1.011] | best: 54.1 | elapsed: 00:03:32  (732 steps/s)
Ep   4800/50000 | avg:    46.3  min:    34.7  max:    56.8 | len:    34 | actor loss:  95.6687 | critic loss:  95.6687 | σ: [0.914, 1.004, 1.012] | best: 54.1 | elapsed: 00:03:38  (609 steps/s)
Ep   4900/50000 | avg:    43.4  min:    35.0  max:    56.9 | len:    31 | actor loss:  89.1195 | critic loss:  89.1195 | σ: [0.915, 1.006, 1.005] | best: 54.1 | elapsed: 00:03:42  (775 steps/s)
